image_id|source_file|source_number|type|format|contributor|buildings_current|buildings_former|date|photographer|width|height|resolution|physical_size|cd_location|tiff_location|notes|no_students|no_profs|related_image|display_dpi
165|class1910_EVVanWart|0|Single|tiff|Mike Meade, Alex Rogers|||1910-01-01||||||||Elsie Vera VanWart|0|0||72
167|class1910_MMBelyea|0|Single|tiff|Mike Meade, Alex Rogers|||1910-01-01||||||||Margaret Mary Belyea|0|0||72
168|class1911_CPSteeves|0|Single|tiff|Mike Meade, Alex Rogers|||1911-01-01||||||||C Perley Steeves |0|0||72
169|class1911_GARyan|0|Single|tiff|Mike Meade, Alex Rogers|||1911-01-01||||||||Georgie Alberta Ryan|0|0||72
170|class1911_GSGrimmer|0|Single|tiff|Mike Meade, Alex Rogers|||1911-01-01||||||||George Skiffington Grimmer|0|0||72
171|class1911_HGDeedes|0|Single|tiff|Mike Meade, Alex Rogers|||1911-01-01||||||||Henry Grenville Deedes|0|0||72
172|class1911_IFAThomas|0|Single|tiff|Mike Meade, Alex Rogers|||1911-01-01||||||||Isabel FA Thomas|0|0||72
173|class1911_JBPalmer|0|Single|tiff|Mike Meade, Alex Rogers|||1911-01-01||||||||James Brideson Palmer|0|0||72
174|class1911_MLCorbett|0|Single|tiff|Mike Meade, Alex Rogers|||1911-01-01||||||||M Lillian Corbett|0|0||72
175|class1911_MWJennings|0|Single|tiff|Mike Meade, Alex Rogers|||1911-01-01||||||||Michael Wallace Jennings|0|0||72
176|class1911_PPFox|0|Single|tiff|Mike Meade, Alex Rogers|||1911-01-01||||||||Pauline Porter Fox|0|0||72
177|class1911_RBClark|0|Single|tiff|Mike Meade, Alex Rogers|||1911-01-01||||||||Ralph Bradford Clark|0|0||72
178|class1911_REEverett|0|Single|tiff|Mike Meade, Alex Rogers|||1911-01-01||||||||Ruth Elizabeth Everett|0|0||72
179|class1911_WHHoyt|0|Single|tiff|Mike Meade, Alex Rogers|||1911-01-01||||||||William Handford Hoyt|0|0||72
180|class1911_ZVHallet|0|Single|tiff|Mike Meade, Alex Rogers|||1911-01-01||||||||Zula V Hallet|0|0||72
181|class1912_GLAiton|0|Single|tiff|Mike Meade, Alex Rogers|||1912-01-01||||||||Grace Lydia Aiton|0|0||72
182|class1912_GMRobinson|0|Single|tiff|Mike Meade, Alex Rogers|||1912-01-01||||||||Greta M Robinson|0|0||72
183|class1912_JTHebert|0|Single|tiff|Mike Meade, Alex Rogers|||1912-01-01||||||||Joseph Thadee Herbert|0|0||72
184|class1912_JWCurrie|0|Single|tiff|Mike Meade, Alex Rogers|||1912-01-01||||||||Jessie W Currie|0|0||72
185|class1912_WPLoggie|0|Single|tiff|Mike Meade, Alex Rogers|||1912-01-01||||||||Warren Peter Loggie|0|0||72
186|class1913_HLVanWart|0|Single|tiff|Mike Meade, Alex Rogers|||1913-01-01||||||||Helen L VanWart|0|0||72
187|class1913_HPLingley|0|Single|tiff|Mike Meade, Alex Rogers|||1913-01-01||||||||Hazel Penelope Lingly|0|0||72
188|class1913_ILMacKnight|0|Single|tiff|Mike Meade, Alex Rogers|||1913-01-01||||||||Ina L MacKnight|0|0||72
189|class1914_FWWeir|0|Single|tiff|Mike Meade, Alex Rogers|||1914-01-01||||||||Freda Weir|0|0||72
